                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.215,                0.87566,                 1.4093,                0.94836,                0.92438,                0.96529,                0.60563,                 1.2841,                0.57297,                 1.5759,               0.006634,               0.006634,               0.006634
                     37,                 1.2202,                0.86926,                 1.4133,                0.95441,                0.92508,                  0.965,                0.60539,                 1.2873,                0.56958,                 1.5705,               0.006535,               0.006535,               0.006535
                     38,                 1.2228,                  0.868,                 1.4133,                0.95131,                0.92464,                0.96548,                 0.6052,                 1.2916,                0.57013,                 1.5734,               0.006436,               0.006436,               0.006436
                     39,                 1.2176,                0.85402,                 1.4109,                0.95772,                0.92619,                0.96584,                0.60995,                 1.2767,                0.56483,                 1.5637,               0.006337,               0.006337,               0.006337
                     40,                 1.2104,                0.86064,                 1.4082,                0.95506,                0.92708,                0.96709,                0.61053,                   1.27,                 0.5574,                 1.5578,               0.006238,               0.006238,               0.006238
                     41,                 1.2054,                0.85343,                 1.4025,                0.95439,                0.92881,                0.96712,                  0.613,                 1.2665,                0.55954,                 1.5536,               0.006139,               0.006139,               0.006139
                     42,                 1.1985,                  0.846,                 1.3989,                 0.9632,                0.92555,                 0.9688,                0.61663,                 1.2629,                0.54743,                 1.5488,                0.00604,                0.00604,                0.00604
                     43,                 1.2057,                0.84602,                 1.4031,                0.95416,                0.93436,                0.96937,                0.61546,                 1.2613,                0.54737,                 1.5476,               0.005941,               0.005941,               0.005941
                     44,                 1.1878,                0.82961,                 1.3906,                0.95464,                0.93442,                0.96698,                0.61486,                 1.2587,                0.54327,                 1.5504,               0.005842,               0.005842,               0.005842
                     45,                 1.1882,                0.82321,                 1.3936,                0.95802,                0.93702,                0.96871,                0.61937,                 1.2567,                 0.5416,                 1.5466,               0.005743,               0.005743,               0.005743
                     46,                 1.1883,                0.81684,                  1.391,                0.96675,                0.93891,                0.97183,                0.62014,                 1.2571,                0.53543,                 1.5469,               0.005644,               0.005644,               0.005644
                     47,                 1.1842,                0.80662,                 1.3832,                0.95699,                0.93899,                0.97045,                0.62134,                 1.2504,                0.53286,                 1.5413,               0.005545,               0.005545,               0.005545
                     48,                 1.1834,                0.81647,                 1.3861,                0.96969,                0.93551,                0.96985,                0.62194,                 1.2522,                0.53012,                 1.5422,               0.005446,               0.005446,               0.005446
                     49,                 1.1815,                0.80912,                 1.3857,                0.96842,                0.93447,                0.97084,                0.62246,                 1.2476,                0.52748,                 1.5406,               0.005347,               0.005347,               0.005347
                     50,                 1.1774,                0.79834,                 1.3878,                0.96811,                0.94281,                0.97355,                0.62508,                 1.2453,                0.51739,                 1.5324,               0.005248,               0.005248,               0.005248
