                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1696,                0.86658,                 1.3765,                0.92694,                0.87428,                0.93381,                0.60007,                 1.2551,                0.64025,                 1.5417,               0.006634,               0.006634,               0.006634
                     37,                 1.1699,                0.85737,                 1.3721,                0.92139,                0.88583,                0.92926,                0.59907,                 1.2524,                0.64906,                 1.5373,               0.006535,               0.006535,               0.006535
                     38,                  1.172,                0.85078,                 1.3761,                 0.9161,                0.88639,                0.93243,                 0.6056,                  1.241,                0.64212,                 1.5281,               0.006436,               0.006436,               0.006436
                     39,                 1.1611,                0.84922,                 1.3644,                0.92227,                0.89217,                0.93934,                0.60965,                 1.2446,                0.62377,                 1.5255,               0.006337,               0.006337,               0.006337
                     40,                 1.1585,                0.86087,                 1.3747,                0.93172,                0.88757,                0.94385,                0.61745,                 1.2237,                0.62537,                 1.5042,               0.006238,               0.006238,               0.006238
                     41,                 1.1545,                0.83115,                 1.3667,                0.93991,                0.87768,                0.93621,                0.60102,                 1.2458,                0.62907,                 1.5298,               0.006139,               0.006139,               0.006139
                     42,                 1.1538,                0.82674,                 1.3608,                0.94753,                0.88279,                0.94171,                0.59796,                 1.2509,                0.61998,                 1.5268,                0.00604,                0.00604,                0.00604
                     43,                 1.1542,                0.82489,                 1.3642,                0.93345,                0.88859,                0.93519,                0.61415,                 1.2176,                0.61637,                 1.5069,               0.005941,               0.005941,               0.005941
                     44,                 1.1443,                0.82532,                 1.3615,                0.92369,                0.88857,                0.93745,                0.61297,                 1.2302,                0.62177,                 1.5201,               0.005842,               0.005842,               0.005842
                     45,                 1.1373,                0.80965,                 1.3523,                0.92969,                0.88666,                0.93406,                0.60469,                  1.236,                0.62663,                 1.5254,               0.005743,               0.005743,               0.005743
                     46,                 1.1315,                0.80557,                 1.3519,                0.94225,                0.88816,                0.94318,                0.61667,                 1.2174,                0.60312,                 1.5057,               0.005644,               0.005644,               0.005644
                     47,                 1.1417,                0.80798,                 1.3531,                0.94013,                0.89722,                0.94619,                0.61957,                 1.2231,                0.59256,                 1.5058,               0.005545,               0.005545,               0.005545
                     48,                 1.1251,                0.78918,                 1.3507,                0.92976,                0.89485,                0.94105,                0.62173,                 1.2242,                0.60643,                 1.5029,               0.005446,               0.005446,               0.005446
                     49,                 1.1233,                0.79784,                 1.3488,                0.95622,                 0.8756,                0.94517,                0.61928,                 1.2191,                0.59867,                 1.5034,               0.005347,               0.005347,               0.005347
