                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9559,                0.58969,                 1.2371,                0.94689,                0.91011,                0.95295,                0.62403,                 1.2388,                0.54429,                 1.5355,             0.00024747,             0.00024747,             0.00024747
                     36,                0.95058,                0.58211,                 1.2352,                0.94162,                0.90778,                0.94887,                0.62421,                 1.2398,                0.54401,                 1.5449,             0.00023334,             0.00023334,             0.00023334
                     37,                0.94865,                  0.584,                 1.2317,                 0.9528,                 0.8901,                0.94359,                0.61575,                 1.2543,                0.55427,                 1.5506,              0.0002192,              0.0002192,              0.0002192
                     38,                0.94427,                0.58226,                 1.2302,                0.94655,                0.90366,                0.94507,                 0.6217,                 1.2456,                0.55143,                 1.5489,             0.00020506,             0.00020506,             0.00020506
                     39,                0.93374,                0.58098,                 1.2224,                0.94387,                0.90306,                0.94618,                0.62021,                 1.2488,                0.55455,                 1.5549,             0.00019092,             0.00019092,             0.00019092
                     40,                0.93631,                0.58911,                 1.2313,                0.95456,                0.90363,                0.94719,                0.62352,                 1.2398,                0.55326,                 1.5469,             0.00017679,             0.00017679,             0.00017679
                     41,                0.83866,                0.37243,                 1.2094,                 0.9515,                 0.8939,                0.94304,                0.62147,                  1.243,                0.55861,                 1.5419,             0.00016265,             0.00016265,             0.00016265
                     42,                0.82888,                0.36177,                 1.2049,                0.93856,                0.90733,                0.94338,                0.61916,                 1.2466,                0.55821,                 1.5546,             0.00014851,             0.00014851,             0.00014851
                     43,                0.82059,                0.35863,                 1.1922,                0.93821,                0.90793,                0.94486,                 0.6218,                 1.2526,                0.55159,                 1.5678,             0.00013437,             0.00013437,             0.00013437
                     44,                0.80938,                0.35711,                  1.189,                0.94424,                0.89554,                 0.9414,                0.62369,                 1.2476,                0.56149,                 1.5659,             0.00012024,             0.00012024,             0.00012024
                     45,                0.80521,                0.35334,                 1.1859,                 0.9581,                0.89119,                0.94414,                0.62374,                 1.2514,                0.56677,                 1.5693,              0.0001061,              0.0001061,              0.0001061
                     46,                0.80007,                0.34683,                 1.1733,                 0.9586,                0.89253,                0.94283,                 0.6248,                 1.2498,                0.56239,                 1.5692,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.79606,                0.34672,                  1.179,                0.95618,                0.89068,                0.94384,                0.62359,                 1.2481,                0.56348,                 1.5693,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 0.7884,                0.34396,                 1.1692,                0.95886,                0.88809,                0.94302,                0.62435,                 1.2503,                0.56395,                 1.5769,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.78567,                0.34563,                 1.1706,                0.93751,                0.90339,                0.94102,                0.62325,                 1.2532,                0.56445,                 1.5774,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.77942,                0.33567,                  1.165,                0.94931,                0.89988,                0.94336,                 0.6231,                 1.2511,                0.56098,                 1.5766,             3.5414e-05,             3.5414e-05,             3.5414e-05
